Age,Gender,Job Type,Daily Social Media Time,Social Platform Preference,Number of Notifications,Work Hours per Day,Perceived Productivity Score,Actual Productivity Score,Stress Level,Sleep Hours,Screen Time Before Sleep,Breaks During Work,Uses Focus Apps,Has Digital Wellbeing Enabled,Coffee Consumption per Day,Days Feeling Burnout per Month,Weekly Offline Hours,Job Satisfaction Score
29.0,Male,Student,1.55,Telegram,52.0,7.97,8.56,7.21,3.0,6.71,0.77,8.0,False,False,0.0,22.0,6.72,7.59
39.0,Female,Education,4.59,Facebook,73.0,10.62,3.23,3.66,2.0,6.77,1.96,5.0,True,False,0.0,15.0,16.92,4.42
42.0,Male,Health,2.08,Telegram,57.0,8.25,5.14,4.77,3.0,3.0,1.56,0.0,True,True,2.0,0.0,16.44,6.18
45.0,Male,Student,1.0,Telegram,56.0,7.5,4.35,3.62,8.0,5.51,0.85,5.0,True,False,2.0,16.0,1.86,5.57
33.0,Male,Unemployed,0.77,Twitter,62.0,2.2,2.98,2.4,7.0,4.96,1.17,6.0,True,False,3.0,1.0,16.98,3.78
32.0,Female,Finance,2.71,Twitter,59.0,5.4,8.31,7.99,7.0,7.18,0.24,0.0,False,False,2.0,21.0,23.09,8.51
61.0,Female,Student,2.48,TikTok,61.0,7.67,5.29,4.52,10.0,7.38,1.02,0.0,False,False,2.0,10.0,13.48,5.59
54.0,Male,Education,1.75,Facebook,57.0,6.3,3.94,3.88,4.0,8.04,0.91,4.0,False,False,3.0,13.0,13.08,5.51
38.0,Female,Health,3.09,TikTok,67.0,7.09,5.56,4.66,8.0,8.0,1.69,8.0,False,False,2.0,25.0,3.35,4.87
35.0,Male,Unemployed,0.55,Facebook,46.0,4.87,3.08,2.97,5.0,5.43,0.86,6.0,True,False,2.0,4.0,11.54,2.34
21.0,Male,Unemployed,0.4,Instagram,60.0,9.64,8.87,7.93,4.0,5.8,1.31,7.0,False,True,1.0,5.0,19.53,8.96
42.0,Female,Finance,5.04,Twitter,58.0,6.29,7.55,6.83,3.0,7.41,2.97,3.0,False,False,1.0,2.0,21.7,6.13
19.0,Female,IT,1.99,TikTok,60.0,8.32,8.54,7.6,8.0,6.1,1.28,0.0,True,False,1.0,29.0,14.39,6.53
64.0,Female,Education,5.62,Telegram,63.0,8.8,2.58,2.74,5.0,6.86,1.34,10.0,True,False,5.0,19.0,0.0,3.21
24.0,Female,Finance,2.96,Twitter,59.0,11.02,7.73,6.89,3.0,6.95,0.71,0.0,True,False,0.0,2.0,11.02,7.54
61.0,Male,Unemployed,1.63,Facebook,51.0,7.97,8.9,7.36,1.0,4.79,0.69,9.0,False,False,4.0,11.0,21.95,8.88
25.0,Female,Unemployed,6.59,Instagram,48.0,2.25,6.69,5.42,1.0,3.93,0.81,3.0,True,False,3.0,12.0,3.99,5.12
52.0,Male,IT,4.59,Facebook,61.0,7.41,4.17,3.24,1.0,6.64,0.85,2.0,True,True,3.0,26.0,5.22,2.04
53.0,Male,Student,0.4,Telegram,72.0,5.17,6.03,5.33,4.0,8.25,0.27,1.0,False,False,1.0,22.0,11.13,4.06
57.0,Male,Health,3.76,TikTok,62.0,6.68,7.83,6.97,3.0,5.38,0.99,5.0,True,False,4.0,1.0,17.27,6.31
59.0,Female,Finance,5.17,Twitter,69.0,7.07,8.56,7.78,6.0,9.67,0.56,6.0,False,False,1.0,13.0,30.66,7.38
21.0,Female,Health,2.83,Telegram,51.0,6.0,2.5,2.1,2.0,8.87,0.02,2.0,False,False,2.0,13.0,12.54,0.0
46.0,Female,Education,3.79,Facebook,50.0,7.14,3.1,2.18,4.0,6.69,0.28,2.0,False,False,2.0,26.0,7.0,1.93
35.0,Female,Unemployed,8.69,Telegram,67.0,9.51,6.64,5.54,3.0,6.24,0.5,8.0,False,False,1.0,13.0,0.0,5.74
61.0,Male,IT,1.46,Facebook,56.0,9.15,6.37,5.89,9.0,5.1,3.0,6.0,True,False,1.0,14.0,12.69,6.2
27.0,Male,IT,0.0,Instagram,64.0,8.36,5.71,4.4,4.0,5.72,1.68,4.0,True,True,2.0,6.0,0.48,4.57
53.0,Female,Health,6.81,Twitter,52.0,3.76,2.83,2.15,10.0,7.21,0.72,5.0,True,True,2.0,10.0,8.12,2.55
65.0,Male,Finance,2.43,Telegram,76.0,5.67,3.55,4.27,9.0,7.93,2.59,0.0,True,False,3.0,29.0,21.73,4.13
32.0,Female,Finance,2.01,Facebook,61.0,2.31,5.88,4.35,2.0,5.6,0.55,10.0,False,False,3.0,23.0,0.0,5.22
25.0,Female,IT,0.9,Twitter,66.0,4.81,6.25,4.5,8.0,6.07,0.63,1.0,False,False,0.0,3.0,15.08,5.44
57.0,Male,Student,2.18,Telegram,73.0,6.33,8.12,7.11,5.0,7.28,0.9,10.0,False,True,2.0,11.0,19.95,8.08
38.0,Female,Health,4.7,TikTok,69.0,10.21,3.4,2.32,9.0,5.62,0.0,10.0,True,False,1.0,13.0,4.15,2.59
33.0,Male,Finance,2.88,Facebook,60.0,9.04,4.54,4.9,6.0,4.7,0.0,3.0,False,False,0.0,0.0,12.78,3.45
35.0,Female,IT,2.62,Facebook,64.0,7.95,3.2,2.7,3.0,8.11,0.48,7.0,False,False,2.0,30.0,11.91,3.27
64.0,Male,Finance,0.53,Telegram,55.0,9.99,2.96,2.0,1.0,5.93,1.73,7.0,True,True,0.0,1.0,6.4,2.26
41.0,Female,Unemployed,0.61,Instagram,65.0,8.69,8.15,6.83,5.0,7.02,1.06,1.0,False,False,4.0,5.0,0.0,7.48
62.0,Male,Finance,4.2,Facebook,63.0,3.02,2.84,2.22,7.0,6.81,0.0,5.0,True,False,0.0,25.0,0.0,2.99
58.0,Male,Unemployed,2.33,Telegram,67.0,7.46,7.26,6.28,8.0,6.32,1.31,4.0,False,False,2.0,13.0,6.79,6.51
32.0,Female,IT,3.52,TikTok,63.0,7.41,5.49,6.12,6.0,7.06,1.22,1.0,True,False,3.0,31.0,1.59,7.0
18.0,Female,Unemployed,0.0,Facebook,61.0,7.3,2.24,1.71,4.0,5.41,0.19,9.0,True,False,1.0,18.0,8.85,2.73
42.0,Female,Unemployed,0.0,TikTok,65.0,4.36,3.87,3.03,8.0,7.66,0.41,9.0,True,False,1.0,12.0,12.76,2.86
26.0,Female,Finance,1.51,Telegram,64.0,5.12,4.59,4.31,4.0,5.34,0.72,0.0,True,False,0.0,21.0,14.2,5.16
61.0,Female,IT,5.41,Telegram,70.0,7.18,8.25,7.04,6.0,7.28,0.38,2.0,False,True,2.0,23.0,0.0,7.01
28.0,Female,Education,2.7,TikTok,51.0,6.35,2.57,1.81,8.0,7.95,0.66,1.0,False,False,3.0,5.0,16.11,1.45
52.0,Male,Student,0.12,TikTok,59.0,8.32,2.24,3.24,7.0,9.39,0.6,9.0,False,True,1.0,20.0,16.49,4.49
52.0,Female,Unemployed,5.87,Instagram,57.0,4.44,3.18,3.42,9.0,8.48,1.42,9.0,False,False,1.0,14.0,16.54,4.99
50.0,Male,IT,4.13,TikTok,66.0,5.3,6.78,5.49,3.0,6.61,2.02,0.0,True,False,0.0,23.0,0.0,6.88
22.0,Female,Health,1.9,TikTok,58.0,7.19,4.44,4.34,3.0,6.99,0.13,5.0,False,True,1.0,5.0,17.11,3.45
59.0,Female,Education,4.74,Twitter,54.0,6.51,6.74,5.9,4.0,7.68,0.89,4.0,False,False,2.0,11.0,12.67,6.93
45.0,Female,Student,3.24,Telegram,66.0,8.5,6.52,6.89,7.0,3.6,0.0,10.0,False,False,4.0,18.0,5.15,7.73
24.0,Female,Education,2.47,Instagram,59.0,7.35,4.45,3.73,3.0,6.53,1.66,10.0,False,True,4.0,12.0,12.58,4.0
26.0,Female,IT,2.03,Telegram,53.0,1.51,3.43,2.89,10.0,5.87,0.71,0.0,False,True,4.0,30.0,7.5,2.35
25.0,Female,Education,1.42,TikTok,58.0,3.94,3.12,2.48,6.0,7.64,1.46,8.0,False,False,3.0,0.0,0.0,3.9
29.0,Female,Finance,4.23,TikTok,65.0,6.49,3.32,2.72,4.0,6.84,0.67,6.0,False,False,3.0,17.0,21.02,1.37
50.0,Male,IT,2.05,Facebook,60.0,7.09,4.95,5.36,3.0,7.74,1.16,10.0,False,False,2.0,1.0,10.72,4.7
40.0,Male,Unemployed,2.08,TikTok,52.0,7.58,6.7,5.59,2.0,5.72,1.43,0.0,True,False,2.0,7.0,7.11,3.09
41.0,Male,Health,1.83,Facebook,42.0,9.29,2.84,2.0,9.0,6.12,2.49,6.0,False,False,1.0,15.0,14.01,3.03
54.0,Female,Health,2.19,Telegram,62.0,7.43,5.99,5.22,9.0,7.25,0.99,7.0,False,True,6.0,2.0,6.74,5.24
57.0,Female,Unemployed,3.31,Twitter,52.0,5.94,5.96,5.61,7.0,6.86,0.01,5.0,False,True,2.0,9.0,19.81,5.2
39.0,Female,Student,2.23,Facebook,59.0,6.07,7.53,7.63,3.0,4.66,0.75,4.0,False,True,3.0,5.0,18.06,7.14
52.0,Female,Unemployed,3.44,Telegram,65.0,6.52,7.69,6.43,7.0,8.06,0.38,2.0,False,True,1.0,5.0,4.56,7.08
18.0,Male,Student,1.57,Telegram,59.0,9.17,6.75,5.81,3.0,5.24,2.07,0.0,False,False,1.0,2.0,8.82,6.16
64.0,Male,Student,1.68,Telegram,73.0,7.11,2.41,2.19,8.0,7.26,1.87,1.0,False,False,5.0,1.0,8.21,1.77
31.0,Male,Unemployed,4.81,Facebook,68.0,4.6,6.89,5.37,9.0,5.19,2.43,1.0,True,False,3.0,3.0,6.31,6.01
20.0,Female,Health,2.18,Facebook,69.0,7.47,8.34,7.68,5.0,5.48,0.89,6.0,True,True,3.0,3.0,9.28,10.0
22.0,Male,Finance,3.76,Telegram,67.0,7.6,5.68,5.5,6.0,6.66,0.9,7.0,False,False,2.0,27.0,12.99,5.53
31.0,Male,Student,0.0,Telegram,59.0,10.4,7.09,6.44,9.0,8.52,1.79,9.0,True,False,2.0,29.0,0.0,6.76
56.0,Male,Unemployed,3.11,TikTok,70.0,7.37,2.48,2.59,4.0,6.66,1.06,6.0,False,False,3.0,26.0,12.71,1.96
32.0,Male,IT,3.71,Facebook,57.0,7.49,4.69,3.89,8.0,3.52,1.33,10.0,False,False,5.0,6.0,24.73,4.55
43.0,Female,IT,2.74,Telegram,50.0,11.92,2.17,1.3,6.0,5.78,1.38,7.0,True,False,1.0,21.0,12.86,0.89
59.0,Female,Finance,5.22,Twitter,57.0,8.61,6.83,5.32,3.0,5.75,1.29,9.0,False,False,4.0,9.0,3.51,5.36
30.0,Female,Unemployed,2.07,TikTok,59.0,6.38,4.32,3.77,1.0,6.75,0.0,4.0,False,False,1.0,13.0,12.95,4.44
49.0,Female,Student,2.25,Twitter,55.0,5.01,7.42,6.33,7.0,6.18,0.64,8.0,False,False,1.0,15.0,11.74,4.94
49.0,Male,Finance,1.34,Facebook,59.0,4.81,6.46,6.64,6.0,6.87,1.48,10.0,False,False,1.0,26.0,7.08,7.31
47.0,Female,IT,5.52,TikTok,46.0,9.71,7.33,6.95,5.0,7.57,0.0,1.0,False,True,2.0,27.0,12.37,6.36
56.0,Male,IT,2.3,Instagram,54.0,7.84,8.15,7.24,2.0,7.55,1.52,8.0,False,False,0.0,6.0,6.49,7.65
62.0,Female,IT,5.4,Instagram,68.0,8.35,4.97,4.55,10.0,6.29,0.0,9.0,True,False,2.0,18.0,9.9,4.05
60.0,Male,Student,3.31,Instagram,54.0,7.59,3.73,2.59,1.0,5.11,1.08,7.0,False,False,3.0,13.0,17.52,4.18
46.0,Male,Finance,0.87,Instagram,52.0,5.11,6.8,5.71,5.0,7.84,1.87,4.0,True,True,1.0,19.0,20.21,5.11
49.0,Male,Student,2.18,Telegram,54.0,5.13,8.25,7.49,6.0,6.59,0.08,0.0,True,False,2.0,25.0,2.57,7.57
45.0,Female,Health,2.94,TikTok,58.0,7.31,2.74,2.28,3.0,8.69,0.35,3.0,True,False,4.0,5.0,8.6,1.39
62.0,Male,Student,5.1,Facebook,66.0,8.5,4.36,3.65,2.0,5.83,0.66,2.0,False,False,3.0,16.0,3.44,2.44
23.0,Male,Unemployed,3.79,Telegram,63.0,7.44,3.9,4.0,3.0,4.49,0.8,7.0,False,False,1.0,20.0,27.44,4.13
45.0,Male,IT,1.68,Instagram,60.0,9.48,3.52,3.07,2.0,7.59,1.13,8.0,False,False,3.0,14.0,0.0,2.17
61.0,Female,Health,4.1,Instagram,53.0,9.7,2.76,1.53,4.0,7.45,1.87,6.0,True,False,3.0,21.0,21.73,1.43
50.0,Male,Unemployed,0.0,Instagram,62.0,9.93,4.98,5.0,2.0,6.26,0.0,4.0,True,False,1.0,6.0,8.8,5.66
44.0,Male,Health,4.47,TikTok,45.0,5.31,3.25,2.86,5.0,5.64,0.82,5.0,False,False,1.0,29.0,9.1,3.53
58.0,Female,Finance,2.16,Facebook,64.0,3.42,5.94,5.18,10.0,8.3,1.85,4.0,False,False,0.0,21.0,14.01,5.42
20.0,Female,Unemployed,3.96,Telegram,65.0,8.92,7.04,6.23,4.0,7.59,1.58,0.0,True,True,1.0,7.0,13.77,6.64
25.0,Male,Health,0.0,Instagram,69.0,9.51,3.77,3.29,2.0,7.5,1.15,10.0,False,False,4.0,14.0,6.33,2.53
44.0,Male,Unemployed,2.78,Instagram,59.0,7.0,6.22,5.43,1.0,8.09,0.78,4.0,True,False,2.0,26.0,17.02,6.52
26.0,Male,Finance,0.0,Facebook,60.0,6.17,3.11,3.23,5.0,8.85,1.16,10.0,False,True,0.0,19.0,16.12,2.3
54.0,Female,Student,2.49,Instagram,59.0,9.8,5.15,4.09,4.0,4.43,0.61,9.0,True,False,1.0,31.0,0.0,3.76
50.0,Male,Finance,2.14,Instagram,77.0,6.47,6.47,6.79,9.0,7.82,0.45,8.0,False,False,2.0,20.0,12.95,7.29
41.0,Female,Unemployed,1.53,Facebook,68.0,4.57,6.64,5.38,9.0,5.93,0.96,10.0,True,True,1.0,19.0,21.29,5.84
32.0,Female,Student,5.93,Instagram,69.0,11.15,7.38,5.94,1.0,5.84,0.22,8.0,False,False,3.0,10.0,16.1,6.36
49.0,Male,IT,3.5,Instagram,51.0,4.72,7.22,6.42,8.0,7.53,0.05,9.0,False,True,4.0,5.0,8.16,6.36
49.0,Female,Unemployed,1.5,Instagram,69.0,10.79,2.65,3.13,3.0,7.17,0.42,4.0,True,False,1.0,8.0,14.73,3.04
41.0,Female,Student,1.36,Instagram,61.0,5.59,5.3,5.4,8.0,6.94,2.04,4.0,False,False,1.0,28.0,8.12,4.05
56.0,Female,Health,4.3,TikTok,48.0,7.55,6.53,5.74,8.0,6.98,0.22,10.0,True,False,3.0,4.0,6.34,5.64
19.0,Male,Unemployed,6.49,Facebook,53.0,5.19,4.29,4.09,8.0,7.21,1.33,1.0,True,False,2.0,5.0,11.02,3.73
34.0,Male,IT,2.72,Instagram,54.0,5.53,5.61,4.66,9.0,6.19,1.69,9.0,False,True,5.0,12.0,15.86,4.51
45.0,Female,Education,3.89,Instagram,66.0,5.31,3.98,4.02,2.0,6.07,0.0,2.0,False,False,2.0,18.0,14.43,3.02
40.0,Female,Finance,1.8,TikTok,57.0,9.77,8.43,7.35,6.0,4.5,2.01,10.0,True,False,4.0,0.0,9.47,6.36
54.0,Female,Health,6.2,Facebook,75.0,7.3,5.38,4.7,7.0,7.24,0.82,1.0,False,False,4.0,17.0,16.23,4.86
50.0,Male,Education,3.16,Twitter,62.0,6.75,5.42,5.38,5.0,6.49,0.48,9.0,True,False,2.0,26.0,22.1,5.6
18.0,Male,Unemployed,1.95,Instagram,59.0,5.24,7.22,6.9,7.0,5.98,1.85,3.0,False,False,3.0,13.0,14.75,6.73
43.0,Male,Student,1.51,Twitter,74.0,5.14,3.58,3.22,8.0,6.49,1.21,1.0,False,False,2.0,26.0,4.95,2.04
49.0,Female,IT,2.74,Twitter,67.0,6.03,5.92,5.94,3.0,6.79,0.07,5.0,False,False,1.0,3.0,20.95,5.97
23.0,Male,Unemployed,2.45,Instagram,59.0,6.81,6.23,5.1,7.0,7.18,0.7,9.0,True,False,2.0,4.0,8.42,5.01
34.0,Female,Student,0.26,Facebook,57.0,5.74,5.5,5.44,9.0,3.07,0.81,4.0,True,False,3.0,0.0,18.14,6.53
41.0,Female,Finance,3.09,Telegram,69.0,2.67,6.45,6.08,9.0,6.3,1.93,7.0,False,False,0.0,3.0,10.1,6.71
51.0,Male,IT,3.11,Facebook,67.0,7.13,2.96,3.38,3.0,4.0,0.8,2.0,True,False,3.0,13.0,3.06,4.15
28.0,Female,IT,1.45,Telegram,74.0,5.03,5.38,6.11,6.0,7.07,0.32,10.0,True,False,1.0,22.0,5.45,6.21
26.0,Female,Health,2.42,Telegram,56.0,6.74,4.47,4.0,1.0,8.94,0.77,2.0,True,False,2.0,27.0,17.18,2.88
23.0,Female,Finance,2.58,Telegram,60.0,4.81,3.72,2.14,3.0,5.59,2.02,1.0,False,False,3.0,30.0,15.94,1.99
33.0,Male,Health,4.17,Instagram,66.0,9.81,5.73,4.28,6.0,5.37,0.65,8.0,False,False,2.0,3.0,0.0,5.07
46.0,Male,Health,3.75,Facebook,72.0,5.62,5.12,5.21,2.0,10.0,0.93,6.0,False,False,2.0,28.0,19.43,5.31
37.0,Female,Unemployed,1.89,Telegram,76.0,4.35,5.92,6.59,10.0,5.46,1.9,4.0,False,False,2.0,2.0,9.26,8.33
53.0,Female,Health,1.22,TikTok,67.0,4.72,6.49,5.35,4.0,6.75,0.0,3.0,False,True,0.0,21.0,11.75,6.3
36.0,Male,Education,1.2,TikTok,54.0,4.8,5.84,4.61,5.0,5.04,0.42,7.0,False,True,1.0,3.0,10.47,5.83
43.0,Male,IT,2.68,TikTok,61.0,8.12,3.61,3.58,2.0,7.14,1.45,0.0,False,False,2.0,30.0,13.73,1.23
36.0,Female,IT,0.0,Facebook,66.0,7.54,8.97,8.18,8.0,5.68,2.44,3.0,False,False,2.0,18.0,5.02,7.82
37.0,Female,Finance,4.46,Facebook,77.0,8.58,6.47,5.96,10.0,6.84,1.82,0.0,False,True,1.0,23.0,5.74,7.72
24.0,Male,Health,1.63,TikTok,62.0,7.3,7.73,7.54,5.0,6.07,0.88,3.0,False,False,2.0,15.0,0.0,5.99
57.0,Female,Education,6.02,TikTok,58.0,6.41,6.85,6.02,3.0,6.99,0.97,2.0,False,True,0.0,1.0,10.5,6.48
35.0,Female,Finance,5.16,TikTok,67.0,5.65,8.69,7.47,2.0,5.21,1.65,9.0,True,False,2.0,7.0,5.1,6.89
57.0,Male,Education,2.2,Facebook,66.0,6.47,7.03,6.97,10.0,6.6,0.0,5.0,True,False,1.0,7.0,1.96,7.53
45.0,Male,Education,0.03,Facebook,63.0,10.1,8.92,8.58,10.0,8.08,1.98,5.0,False,False,1.0,30.0,16.48,7.6
42.0,Female,IT,1.57,Facebook,69.0,6.1,5.76,5.22,10.0,6.05,0.94,4.0,True,False,2.0,4.0,13.55,4.97
48.0,Female,Finance,2.58,Telegram,46.0,5.85,3.35,2.46,7.0,7.93,1.86,0.0,False,False,1.0,31.0,0.0,3.12
47.0,Female,Finance,0.97,Instagram,59.0,8.03,2.09,1.18,5.0,4.8,0.7,8.0,False,False,3.0,28.0,0.15,2.31
24.0,Female,IT,0.0,Twitter,62.0,4.04,8.61,8.35,1.0,8.63,1.93,6.0,True,False,0.0,12.0,18.84,8.34
33.0,Female,Finance,4.01,Facebook,65.0,5.56,4.48,4.66,7.0,7.85,0.86,2.0,False,False,3.0,11.0,11.44,2.8
43.0,Female,Education,0.8,Facebook,54.0,2.14,8.44,7.55,7.0,9.05,1.51,0.0,False,False,2.0,2.0,11.22,8.36
65.0,Male,Student,6.79,Twitter,60.0,8.83,4.37,3.61,4.0,4.55,0.97,7.0,False,False,4.0,22.0,12.78,3.81
18.0,Female,Finance,0.0,Instagram,57.0,6.56,6.61,5.8,2.0,7.6,1.34,4.0,True,False,2.0,2.0,3.13,5.79
65.0,Male,Student,2.15,TikTok,42.0,8.12,5.81,5.18,6.0,7.29,1.23,4.0,False,False,0.0,17.0,14.2,5.9
29.0,Male,Health,5.03,Facebook,59.0,7.32,2.49,1.75,10.0,4.62,0.0,0.0,False,False,1.0,30.0,7.19,0.95
22.0,Male,Unemployed,12.52,Twitter,54.0,6.68,3.69,3.81,3.0,7.93,0.92,4.0,False,True,2.0,16.0,9.94,5.98
54.0,Male,Unemployed,4.97,Telegram,69.0,5.88,3.15,2.27,10.0,6.26,0.36,6.0,False,True,4.0,5.0,8.03,1.05
26.0,Female,Student,1.06,Facebook,62.0,6.74,6.62,6.41,10.0,4.93,1.77,3.0,False,False,0.0,5.0,0.0,5.58
52.0,Female,Health,1.68,TikTok,50.0,8.39,3.56,2.76,7.0,3.98,0.87,2.0,False,False,2.0,17.0,22.88,2.34
36.0,Male,Student,2.19,TikTok,68.0,4.81,3.07,2.31,7.0,7.5,0.0,5.0,True,False,4.0,25.0,2.32,3.71
65.0,Male,Student,2.49,TikTok,55.0,9.98,8.22,8.09,4.0,3.66,1.93,10.0,True,True,0.0,0.0,0.71,9.47
33.0,Male,Health,3.4,Facebook,52.0,9.37,4.19,3.26,7.0,4.44,0.31,4.0,False,False,2.0,5.0,8.24,4.66
20.0,Female,Student,1.83,Instagram,67.0,6.39,5.85,4.54,9.0,6.38,1.85,4.0,True,False,2.0,8.0,4.03,4.52
37.0,Male,Student,3.32,Twitter,61.0,9.39,5.02,4.9,4.0,7.41,1.53,9.0,True,True,1.0,6.0,4.09,4.54
41.0,Male,Health,3.76,Twitter,69.0,6.23,6.69,6.61,3.0,5.74,1.19,0.0,False,False,2.0,2.0,12.81,5.5
41.0,Female,Unemployed,0.5,TikTok,55.0,8.1,2.52,2.59,10.0,6.93,0.41,5.0,False,False,2.0,18.0,0.93,2.58
28.0,Male,IT,5.19,Twitter,57.0,5.85,6.36,5.35,8.0,5.24,1.45,8.0,False,False,2.0,22.0,11.48,5.54
25.0,Male,Health,3.25,TikTok,56.0,7.12,6.47,6.68,2.0,6.49,1.15,1.0,False,True,4.0,3.0,0.0,5.69
53.0,Female,Finance,2.7,Facebook,61.0,6.23,5.33,4.71,4.0,6.8,1.96,2.0,True,False,1.0,12.0,15.75,4.73
55.0,Female,Student,0.15,Instagram,59.0,10.16,8.39,7.85,5.0,4.64,0.17,4.0,False,False,4.0,20.0,12.27,7.0
42.0,Female,Finance,6.16,TikTok,58.0,8.13,3.7,3.9,7.0,5.5,1.06,10.0,False,False,1.0,3.0,0.0,5.12
46.0,Male,Unemployed,4.98,Twitter,62.0,9.26,5.26,4.26,8.0,5.94,2.95,7.0,False,False,2.0,5.0,4.98,4.07
35.0,Male,Health,3.44,Facebook,59.0,8.57,6.2,5.34,5.0,6.4,2.75,9.0,False,False,1.0,13.0,25.88,4.15
35.0,Female,IT,3.67,Facebook,68.0,3.94,4.3,3.82,8.0,6.87,1.48,5.0,False,True,3.0,17.0,11.83,4.24
33.0,Female,Unemployed,4.4,Twitter,67.0,6.95,2.76,1.97,9.0,8.04,0.54,1.0,False,False,3.0,21.0,27.63,2.6
58.0,Male,Education,0.81,TikTok,55.0,6.33,7.87,6.97,3.0,6.46,0.0,0.0,False,True,1.0,7.0,0.0,6.99
50.0,Male,Unemployed,1.33,Instagram,71.0,7.09,5.51,4.74,6.0,7.12,1.2,10.0,False,False,2.0,27.0,10.09,5.5
31.0,Male,Unemployed,3.2,Instagram,62.0,6.82,5.86,4.97,6.0,4.66,1.16,7.0,True,False,3.0,8.0,32.9,6.41
37.0,Female,Student,3.09,Instagram,61.0,4.81,8.51,7.53,6.0,6.25,0.4,1.0,False,False,4.0,26.0,0.0,6.95
25.0,Male,Health,6.35,TikTok,52.0,7.17,7.47,6.54,5.0,5.44,0.69,7.0,False,False,3.0,21.0,10.97,5.83
20.0,Male,IT,2.64,Facebook,51.0,6.35,6.66,6.72,5.0,6.73,0.0,3.0,False,False,4.0,26.0,14.32,5.75
34.0,Female,Health,4.38,Twitter,58.0,6.33,4.45,4.42,10.0,5.12,0.06,4.0,False,True,1.0,26.0,8.5,2.49
50.0,Male,Student,3.3,Facebook,68.0,8.03,8.96,7.66,4.0,7.3,1.69,10.0,True,False,0.0,25.0,2.44,7.35
65.0,Male,Unemployed,2.16,Twitter,59.0,3.4,2.18,2.45,5.0,5.25,0.0,5.0,True,False,5.0,16.0,18.46,1.77
39.0,Female,IT,3.52,Telegram,65.0,6.95,4.55,4.16,2.0,8.33,1.49,7.0,True,False,1.0,9.0,10.93,3.8
39.0,Male,Health,3.81,Twitter,68.0,6.86,6.78,6.52,1.0,7.05,2.37,7.0,False,True,0.0,2.0,7.09,4.66
47.0,Female,IT,2.8,Telegram,65.0,8.63,4.9,5.41,4.0,6.77,1.18,8.0,False,False,3.0,12.0,1.07,5.21
62.0,Female,Finance,7.64,Twitter,57.0,6.93,3.24,3.36,1.0,6.89,0.57,0.0,False,False,2.0,3.0,0.83,2.28
25.0,Male,Education,1.82,Facebook,60.0,6.56,5.11,3.86,10.0,5.32,2.74,1.0,False,True,3.0,10.0,9.87,4.55
44.0,Male,Finance,1.78,Facebook,60.0,7.85,2.22,1.28,10.0,7.52,1.53,8.0,False,True,4.0,0.0,18.15,1.42
44.0,Male,Education,5.07,Facebook,57.0,9.23,7.72,7.59,2.0,4.81,0.07,5.0,False,False,2.0,16.0,10.27,8.13
38.0,Female,Student,12.3,TikTok,62.0,8.16,8.83,8.27,2.0,8.7,1.95,6.0,False,False,3.0,11.0,12.75,8.38
50.0,Male,IT,3.81,Facebook,57.0,3.08,7.23,6.27,8.0,6.38,1.89,1.0,False,False,3.0,8.0,20.44,6.94
